Category,Brand,Description,Keyword,UPC,MSRP,Quantity,SKU,Color,Size,StyleNumber,StyleName,ParentCategory,Processed_Description,Category_Encoded,Predicted_Category
X-Country Hardgoods - Poles,Swix,Swix - Elite Touring Poles - Black/Red - 160 CM,Swix,7045952550695,39.99,1,SWI34804857M,Black/Red,160,95061900,Elite,Cross Country,"['swix', 'elite', 'touring', 'poles', 'black/red', '160', 'cm']",107,
Snowboard Hardgoods - Boots,Vans,Vans - Hi-Country & Hell-Bound - Olive/Gum - M's 8 ,Vans,196573285675,350.0,1,MEN33501564M,OLIVE/GUM,8,VN0A54FL0QR1,M HI-COUNTRY & HELL-BOUND,Snowboard Hardgoods ,"['vans', 'hi-country', 'hell-bound', 'olive/gum', ""'s"", '8']",101,Accessories - Winter - Apres & Casual Footwear
Ski Hardgoods - Bindings,Armada,Armada - N STH2 MNC 16 Ski Bindings - Black - C90,Armada,842339168705,349.95,2,NST275865220,Black,C90,RD0000052,N STH2 MNC 16 Armada BLA,Ski Hardgoods ,"['armada', 'n', 'sth2', 'mnc', '16', 'ski', 'bindings', 'black', 'c90']",80,Ski Hardgoods - Bindings - Alpine
Ski Hardgoods - Boots - Men,Nordica,Sportmachine 100 Black - Red - White 275,Nordica,888341661520,500.0,0,SPO312725415,Black - Red - White,275,050R3001N44,SPORTMACHINE 100,Ski Hardgoods ,"['sportmachine', '100', 'black', 'red', 'white', '275']",85,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Excursion Gore-Tex Mitt - Black - XL,Dakine,610934238778,105.0,2,EXC27101141L,Black,XL,10002002,EXCURSION GORE-TEX MITT,Accessories ,"['dakine', 'excursion', 'gore-tex', 'mitt', 'black', 'xl']",16,Accessories - Winter - Gloves & Mittens
Clothing - Winter - Street Wear - Mens,Obermeyer,OBERMEYER - Flex 1/4 Zip - Brakelight - XL,Obermeyer,888555493399,89.0,0,FLE21775101L,Brakelight,XL,29013,Flex 1/4 Zip,Clothing ,"['obermeyer', 'flex', '1/4', 'zip', 'brakelight', 'xl']",65,Clothing - Winter - Outerwear - Mens
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Tracker Mitt T2 - Vintage - Camo/Black - K/M,Dakine,194626504506,40.0,0,DAK37810773M,VINTAGE CAMOBLACK,KM,10003190,DAKINE TRACKER MITT T2,Accessories ,"['dakine', 'tracker', 'mitt', 't2', 'vintage', 'camo/black', 'k/m']",16,
Ski Hardgoods - Skis,Blizzard,Blizzard - Brahma 88 - 177cm,Blizzard,888341997971,699.95,-1,BRA144997637,RED,177,8A334200001,BRAHMA 88,Ski Hardgoods ,"['blizzard', 'brahma', '88', '177cm']",88,
Accessories - Winter - Socks,Stance,Stance - Gooey Socks - Black - L,Stance,190107502863,14.99,0,GOO12452084L,BLACK,L,A555C22GOO,GOOEY,Accessories ,"['stance', 'gooey', 'socks', 'black', 'l']",20,
Bikes - Mountain - Hardtail,TREK,Marlin 6 Xl 29 Matte Dnister Black,TREK,601842581445,849.99,0,5259621,Matte Dnister Black,XL,2016600,MARLIN 6,Bikes ,"['marlin', '6', 'xl', '29', 'matte', 'dnister', 'black']",26,
Clothing - Winter - Outerwear - Womens - Jackets,Airblaster,Airblaster - Stay Wild Parka - Thistle - S,Airblaster,847678202301,220.0,0,STA17689726S,THI,S,AB24WJ1_025,STAY WILD PARKA,Clothing ,"['airblaster', 'stay', 'wild', 'parka', 'thistle']",61,
Clothing - Shoes - Mountain,FIVE TEN,FIVE TEN -  HELLCAT SHOE -BLACK/WHITE/EMERALD - W'S 7.5,FIVE TEN,194813383426,150.0,1,HEL273354737,"Cblack,Crywht,Hazeme",7-,FW4206,HELLCAT W,Clothing ,"['five', 'ten', 'hellcat', 'shoe', '-black/white/emerald', 'w', ""'s"", '7.5']",38,
Ski Hardgoods - Boots - Women,Nordica,Sportmachine 75 W Black - Black P. - Pink 22.5,Nordica,888341766812,400.0,0,SPO335824555,Black - Black P. - Pink,22.5,050R42013C2,SPORTMACHINE 75 W,Ski Hardgoods ,"['sportmachine', '75', 'w', 'black', 'black', 'p.', 'pink', '22.5']",86,
Clothing - Winter - Street Wear - Mens,Burton,Burton - Oak Pullover Hoodie - True Black Heather - M's XL,Burton,190450933260,59.95,0,MEN39148133L,True Black Heather,XL,162231,Men's Oak Pullover Hoodie,Clothing ,"['burton', 'oak', 'pullover', 'hoodie', 'true', 'black', 'heather', ""'s"", 'xl']",65,
Ski Hardgoods - Boots - Men,Salomon,Salomon - QST Pro 120 TR Ski Boots - Maroccan Blue/Black/Orange - M's 28.5,Salomon,889645658438,725.0,0,QST395136975,Maroccan Blue,28.5,L40553600,QST PRO 120 TR,Ski Hardgoods ,"['salomon', 'qst', 'pro', '120', 'tr', 'ski', 'boots', 'maroccan', 'blue/black/orange', ""'s"", '28.5']",85,
Clothing - Winter - Outerwear,Obermeyer,Foundation Jacket Black M,Obermeyer,888555820805,279.0,0,FOU22794726M,Black,M,21124,Foundation Jacket,Clothing ,"['foundation', 'jacket', 'black']",53,Clothing - Winter - Outerwear - Mens
Accessories - Winter - Gloves & Mittens,Dakine,Camino Mitt Begonia Xs,Dakine,610934361124,50.0,0,CAM19500823S,Begonia,XS,10003133,CAMINO MITT,Accessories ,"['camino', 'mitt', 'begonia', 'xs']",16,
"Accessories - Winter - Hats, Hoods, Collars",Union,Union - Low Cuff Beanie - Black,Union,810033085437,20.95,0,LOW20201435M,Blk,OSFM,3214904,Low Cuff Beanie,Accessories ,"['union', 'low', 'cuff', 'beanie', 'black']",18,"Accessories - Winter - Hats, Hoods, Collars"
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Tahoe Mitt T1 - Poppy/Iceberg - S,Dakine,194626501987,50.0,2,DAK35616920S,POPPY ICEBERGBLACK,S,10003980,DAKINE TAHOE MITT T1,Accessories ,"['dakine', 'tahoe', 'mitt', 't1', 'poppy/iceberg']",16,
Clothing - Jerseys,Oakley,Oakley - Seeker '75 SS JERSEY - UNIFORM GREY - L,Oakley,193517716752,60.0,4,SEE28647657L,UNIFORM GREY,L,FOA404421,seeker '75 SS JERSEY,Clothing ,"['oakley', 'seeker', ""'75"", 'ss', 'jersey', 'uniform', 'grey', 'l']",31,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Excursion Gore-Tex Short Glove - Black - XL,Dakine,610934238976,105.0,1,EXC33433196L,Black,XL,10002007,EXCURSION GORE-TEX SHORT GLOVE,Accessories ,"['dakine', 'excursion', 'gore-tex', 'short', 'glove', 'black', 'xl']",16,
Clothing - Socks,Stance,Stance - Rebuild Socks - Black - M,Stance,190107473187,19.98,0,REB139261M,Black,M,A448C21REB,REBUILD,Clothing ,"['stance', 'rebuild', 'socks', 'black']",44,
Clothing - Winter - Outerwear - Kids,Obermeyer,Snoverall Pant Pinkafection 8,Obermeyer,888555527094,89.5,0,SNO265693808,Pinkafection,8,55033,Snoverall Pant,Clothing ,"['snoverall', 'pant', 'pinkafection', '8']",54,
Snowboard Hardgoods - Boots - Women,Thirty Two,Thirty Two - STW Double BOA '22 - Black - W's 6,Thirty Two,194691362179,279.95,1,STW225357666,BLACK,6,8205000229,STW DOUBLE BOA W'S '22,Snowboard Hardgoods ,"['thirty', 'two', 'stw', 'double', 'boa', ""'22"", 'black', 'w', ""'s"", '6']",104,Accessories - Winter - Gloves & Mittens
Clothing - Winter - Street Wear - Womens,Armada,Armada - Babka Fleece - Black - W's L,Armada,842339178643,119.95,0,BAB17724531L,Black,L,R00496,Babka Fleece,Clothing ,"['armada', 'babka', 'fleece', 'black', 'w', ""'s"", 'l']",67,
"Accessories - Winter - Hats, Hoods, Collars",Coal Headwear,Coal - Hauler - Khaki - OSFA,Coal Headwear,840056931701,32.0,1,COA13802752K,KHK,OSFM,2202810,Hauler,Accessories ,"['coal', 'hauler', 'khaki', 'osfa']",18,
Clothing - Winter - Outerwear - Womens,Armada,Armada - Pascore Bib - Black - W's M,Armada,842339177301,249.95,0,PAS16782601M,Black,M,R00481,Pascore Bib,Clothing ,"['armada', 'pascore', 'bib', 'black', 'w', ""'s""]",59,
Clothing - Winter - Outerwear - Mens,Burton,Burton - Covert Pant - Bison - M's XL,Burton,193177324229,154.94,0,MEN21433632L,Bison,XL,131391,Men's Covert Pant,Clothing ,"['burton', 'covert', 'pant', 'bison', ""'s"", 'xl']",55,
Accessories - Winter - Socks,Burton,Burton - Performance Midweight Sock - Tangranimals - Kids XS/S,Burton,190450960075,18.95,0,KID43527484S,Tangranimals,XS\S,100741,Kids' Performance Midweight Sock,Accessories ,"['burton', 'performance', 'midweight', 'sock', 'tangranimals', 'kids', 'xs/s']",20,
Clothing - Winter - Baselayer - Kids,Burton,Burton - Kids' Fleece Set - True Black Morse Geo - L,Burton,190450580525,49.95,0,KID31391714L,True Black Morse Geo,L,132131,Kids' Fleece Set,Clothing ,"['burton', 'kids', 'fleece', 'set', 'true', 'black', 'morse', 'geo', 'l']",49,
Accessories - Winter - Goggles,Oakley,Oakley - MOD1 Mips - Forged Iron - S,Oakley,190645930326,135.0,0,OAK25772807S,Forged Iron,S,24JS,MOD1 MIPS,Accessories ,"['oakley', 'mod1', 'mips', 'forged', 'iron']",17,
Clothing - Winter - Outerwear - Mens,Salomon,Salomon - Highland Jacket - Bronze Brown/Cumin - M's L,Salomon,193128683092,400.0,0,HIG32224952L,Bronze Brown,L,LC1583400,HIGHLAND JACKET M,Clothing ,"['salomon', 'highland', 'jacket', 'bronze', 'brown/cumin', ""'s"", 'l']",55,
Ski Hardgoods - Poles,Armada,Armada - Triad Ski Poles - Black - 105cm ,Armada,842339136995,39.95,0,TRI20206636M,Black,105cm,RJ0000028$,TRIAD BLACK,Ski Hardgoods ,"['armada', 'triad', 'ski', 'poles', 'black', '105cm']",87,
Accessories - Winter - Gloves & Mittens,Burton,Burton - Vent Gloves - Blue Blotto Trees - Kids L,Burton,193177315067,39.95,0,KID30149000L,Blue Blotto Trees,L,104161,Kids' Vent Gloves,Accessories ,"['burton', 'vent', 'gloves', 'blue', 'blotto', 'trees', 'kids', 'l']",16,Accessories - Winter - Gloves & Mittens
Logo Merchandise - Clothing - Hats - Caps,Gear For Sports,STRUCTURED ADJ TWILL CAP-FIELD GREEN,Gear For Sports,197837466656,23.99,11,STR31693685N,Field Green,OS,GH840M,AE003365524: LOGO CAPS,Logo Merchandise ,"['structured', 'adj', 'twill', 'cap-field', 'green']",73,
Clothing - Winter - Outerwear - Mens,Obermeyer,Obermeyer - Foundation Jacket - Brakelight - M's 2XL,Obermeyer,888555511369,259.0,0,FOU29490955L,Brakelight,2XL,21100,Foundation Jacket,Clothing ,"['obermeyer', 'foundation', 'jacket', 'brakelight', ""'s"", '2xl']",55,
Snowboard Hardgoods - Boots - Men,Burton,Burton -  Moto Boa Snowboard Boots - Gray - M's 10,Burton,193177371650,239.95,0,MEN317425450,Gray,10,131761,Men's Moto BOA® Snowboard Boots,Snowboard Hardgoods ,"['burton', 'moto', 'boa', 'snowboard', 'boots', 'gray', ""'s"", '10']",103,
Ski Hardgoods - Bindings - Alpine,Salomon,Salomon - N Stage GW 11 Ski Bindings - White - L90,Salomon,193128610258,159.0,0,NST189414980,White,41546415,L41546400,N STAGE GW 11,Ski Hardgoods ,"['salomon', 'n', 'stage', 'gw', '11', 'ski', 'bindings', 'white', 'l90']",82,
Clothing - Winter - Street Wear - Mens,Salomon,Salomon - Transition Full Zip Midlayer - Barrier Reef/Heather - M's XL,Salomon,193128698676,100.0,1,ESS45943434L,Barrier Reef,XL,LC1593200,ESSENTIAL FULL ZIP MIDLAYER M,Clothing ,"['salomon', 'transition', 'full', 'zip', 'midlayer', 'barrier', 'reef/heather', ""'s"", 'xl']",65,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Leather Sequioa Gore-Tex Glove - Black - L,Dakine,610934363975,80.0,2,LEA32261513L,Black,L,10003153,LEATHER SEQUOIA GORE-TEX  GLOVE,Accessories ,"['dakine', 'leather', 'sequioa', 'gore-tex', 'glove', 'black', 'l']",16,
Clothing - Winter - Outerwear - Womens,Burton,Burton - Tulum Stretch Jacket - Martini Olive/Creme Brulee - W's XS,Burton,193177290227,259.95,0,WOM48155847S,Martini Olive / Crème Brûlée,XS,220741,Women's Tulum Stretch Jacket,Clothing ,"['burton', 'tulum', 'stretch', 'jacket', 'martini', 'olive/creme', 'brulee', 'w', ""'s"", 'xs']",59,
Logo Merchandise - Clothing - Hats - Caps,Gear For Sports,RELAX TWILL CAP-HUSH PINK,Gear For Sports,197837466663,22.99,12,REL21233626K,Hush Pink,OS,GH800M,AE003365524: LOGO CAPS,Logo Merchandise ,"['relax', 'twill', 'cap-hush', 'pink']",73,Accessories - Winter - Socks
Clothing - Winter - Baselayer - Kids,Airblaster,Airblaster - Ninja Suit - Pizza - Youth XS,Airblaster,847678192046,80.0,0,YOU21982792S,Pizza,Youth XS,ABKNJ1_002,YOUTH NINJA SUIT,Clothing ,"['airblaster', 'ninja', 'suit', 'pizza', 'youth', 'xs']",49,Accessories - Winter - Gloves & Mittens
Accessories - Winter - Gloves & Mittens,Burton,Women's Gore-Tex Mitten Bog Heather Xs,Burton,190450571332,69.95,0,WOM3180762S,Bog Heather,XS,103911,Women's GORE-TEX Mitten,Accessories ,"['women', ""'s"", 'gore-tex', 'mitten', 'bog', 'heather', 'xs']",16,
Snowboard Hardgoods - Boots - Women,Vans,W Encore Pro  Blackiridescent 7,Vans,192361759151,279.95,0,WEN267514347,Black/Iridescent,7,VN0A3TFQ0CW,W ENCORE PRO,Snowboard Hardgoods ,"['w', 'encore', 'pro', 'blackiridescent', '7']",104,
Clothing - Winter - Baselayer - Mens,Terramar,Terramar - Ecolator 3.0 Quarter Zip - Black - XL,Terramar,721357149821,60.0,0,MQU18130726L,Black,XL,W8605,M QUARTER ZIP,Clothing ,"['terramar', 'ecolator', '3.0', 'quarter', 'zip', 'black', 'xl']",50,Clothing - Winter - Baselayer - Womens
Accessories - Winter - Gloves & Mittens,Dakine,Team Bronco Gore-Tex Glove - Karl Fostvedt - Xl,Dakine,194626407364,75.0,0,TEA36481785L,Karl Fostvedt,XL,10003542,TEAM BRONCO GORE-TEX GLOVE,Accessories ,"['team', 'bronco', 'gore-tex', 'glove', 'karl', 'fostvedt', 'xl']",16,
Clothing - Winter - Outerwear,Obermeyer,Jette Jacket White 8,Obermeyer,888555767315,299.0,1,JET171902168,White,8,11210,Jette Jacket,Clothing ,"['jette', 'jacket', 'white', '8']",53,
"Accessories - Winter - Hats, Hoods, Collars",Coal Headwear,Coal - Uniform - Heather Grey - OSFA,Coal Headwear,840056928589,27.0,3,COA14585412R,HGR,OSFM,2202781,Uniform,Accessories ,"['coal', 'uniform', 'heather', 'grey', 'osfa']",18,
Clothing - Shoes - Mountain - Womens,FIVE TEN,Five Ten - Hellcat Pro Clipless Shoe - Black Crystal/White - W's 10,FIVE TEN,194813245533,180.0,1,HEL317616840,Black/White/Grey,10,FW4204,HELLCAT PRO W,Clothing ,"['five', 'ten', 'hellcat', 'pro', 'clipless', 'shoe', 'black', 'crystal/white', 'w', ""'s"", '10']",40,
Accessories - Winter - Gloves & Mittens,Burton,Burton - Profile Mittens - Orchid Bouquet/Foxglove Violet - Kids S,Burton,193177316002,34.95,0,KID46194471S,Orchid Bouquet / Foxglove Violet,S,151881,Kids' Profile Mittens,Accessories ,"['burton', 'profile', 'mittens', 'orchid', 'bouquet/foxglove', 'violet', 'kids']",16,
Clothing - Winter - Outerwear,Gear For Sports,INSET SKIER-Field Green-MD,Gear For Sports,197837466687,24.99,5,INS22709733D,Field Green,MD,GDH100,AP003814846: INSET SKIER,Clothing ,"['inset', 'skier-field', 'green-md']",53,
Snowboard Hardgoods - Boots - Men,Burton,Burton - Tourist Snowboard Boot - Black - 13,Burton,889049412506,579.95,1,MEN221518533,Black,13,170371,Men's Tourist Boot,Snowboard Hardgoods ,"['burton', 'tourist', 'snowboard', 'boot', 'black', '13']",103,Snowboard Hardgoods - Boots - Men
Clothing - Winter - Outerwear - Kids,Quiksilver,Quiksilver - Youth Estate Snowpant - Laurel Wreath - M/12,Quiksilver,197095014996,109.95,1,YOU442554582,Laurel Wreath,M/12,EQBTP03051-GNB0,ESTATE YTH PT SNPT GNB0,Clothing ,"['quiksilver', 'youth', 'estate', 'snowpant', 'laurel', 'wreath', 'm/12']",54,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Storm Liner - Shadow - Youth - K/M,Dakine,610934300901,16.0,0,YOU2334805M,Shadow,K/M,10002549,YOUTH STORM LINER,Accessories ,"['dakine', 'storm', 'liner', 'shadow', 'youth', 'k/m']",16,
Accessories - Winter - Goggles,Smith Optics,"Smith - I/O MAG XL Goggles - Forest, ChromaPop Sun Platinum Mirror",Smith Optics,716736828138,270.0,-1,IOM41782492S,Forest | ChromaPop Sun Platinum Mirror,OS,M00713,I/O MAG XL,Accessories ,"['smith', 'i/o', 'mag', 'xl', 'goggles', 'forest', 'chromapop', 'sun', 'platinum', 'mirror']",17,
Snowboard Hardgoods - Boots - Women,Vans,Vans - Encore OG Snowboard Boots - Black/White - W's 9,Vans,192361765176,229.99,2,WEN209334029,Black/White,9,VN0A3TFP0BN,W ENCORE OG,Snowboard Hardgoods ,"['vans', 'encore', 'og', 'snowboard', 'boots', 'black/white', 'w', ""'s"", '9']",104,Snowboard Hardgoods - Boots - Men
Ski Hardgoods - Boots - Men,Head - Tyrolia,Head - Edge Lyt 90 Ski Boots - Black/Green - 28.5,Head - Tyrolia,194151609028,349.0,1,EDG223388095,Black/Green,285,609238,EDGE LYT 90   BLACK / GREEN,Ski Hardgoods ,"['head', 'edge', 'lyt', '90', 'ski', 'boots', 'black/green', '28.5']",85,
Accessories - Winter - Gloves & Mittens,Burton,Burton - Gore-tex Glove - True Black - M's M,Burton,190450567533,69.95,0,MEN26191271M,True Black,M,103531,Men's GORE-TEX Glove,Accessories ,"['burton', 'gore-tex', 'glove', 'true', 'black', ""'s""]",16,
Logo Merchandise - Clothing - Outer Wear,Gear For Sports,SUNLIGHT MTN LC EMB-Steel-SM,Gear For Sports,197837466359,79.99,2,SUN23987785M,Steel,SM,UM1972,AEU03814825: SUNLIGHT MTN LC EMB,Logo Merchandise ,"['sunlight', 'mtn', 'lc', 'emb-steel-sm']",74,
Accessories - Winter - Baselayers,Terramar,Terramar - W SCOOP ARTIC DREAM S,Terramar,721357486605,45.0,2,TER25255121S,ARTIC DREAM,S,W8214,W SCOOP,Accessories ,"['terramar', 'w', 'scoop', 'artic', 'dream']",13,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Tahoe Mitt T1 - Black/Grey - XS,Dakine,194626501949,50.0,1,DAK28475213S,BLACKGREY,XS,10003980,DAKINE TAHOE MITT T1,Accessories ,"['dakine', 'tahoe', 'mitt', 't1', 'black/grey', 'xs']",16,
Clothing - Winter - Outerwear - Kids,Quiksilver,Quiksilver - Ambition Youth Jacket - Pureed Pumpkin - JR Medium,Quiksilver,194476021963,159.94,0,AMB319806492,Pureed Pumpkin,Medium/12,EQBTJ03113,AMBITION YOUTH JK,Clothing ,"['quiksilver', 'ambition', 'youth', 'jacket', 'pureed', 'pumpkin', 'jr', 'medium']",54,
Clothing - Winter - Street Wear - Mens,Armada,Icon Hoodie Heather Grey Large,Armada,842339162437,79.95,0,ICO26764656E,Heather Grey,Large,R00407040,Icon Hoodie,Clothing ,"['icon', 'hoodie', 'heather', 'grey', 'large']",65,
